2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 12: Item(title='Set Me Free', url='https://books.toscrape.com/catalogue/set-me-free_988/index.html', price=Decimal('17.46'), currency='GBP', in_stock=True, rating=5, image_url='https://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 522554, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 13: Item(title="Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)", url='https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html', price=Decimal('52.29'), currency='GBP', in_stock=True, rating=5, image_url='https://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 522779, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 14: Item(title='Rip it Up and Start Again', url='https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html', price=Decimal('35.02'), currency='GBP', in_stock=True, rating=5, image_url='https://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 523024, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 15: Item(title='Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991', url='https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html', price=Decimal('57.25'), currency='GBP', in_stock=True, rating=3, image_url='https://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 523280, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 16: Item(title='Olio', url='https://books.toscrape.com/catalogue/olio_984/index.html', price=Decimal('23.88'), currency='GBP', in_stock=True, rating=1, image_url='https://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 523533, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 17: Item(title='Mesaerion: The Best Science Fiction Stories 1800-1849', url='https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html', price=Decimal('37.59'), currency='GBP', in_stock=True, rating=1, image_url='https://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 523751, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 18: Item(title='Libertarianism for Beginners', url='https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html', price=Decimal('51.33'), currency='GBP', in_stock=True, rating=2, image_url='https://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 523923, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | DEBUG    | __main__ | Получена карточка 19: Item(title="It's Only the Himalayas", url='https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html', price=Decimal('45.17'), currency='GBP', in_stock=True, rating=2, image_url='https://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg', description=None, category=None, sku=None, scraped_at=datetime.datetime(2026, 9, 20, 22, 6, 1, 524140, tzinfo=datetime.timezone.utc), source='books.toscrape.com')
2026-09-21 01:06:01 | INFO     | __main__ | Готово
2026-09-21 10:59:35 | INFO     | __main__ | Старт парсера. base_url=https://books.toscrape.com
